Entity Embeddings
 NN: 0.014671480742844734
 xgboost: 0.012983257349119722
 KNN: 0.015645895489468483
 RFR: 0.01394359948506418
One Hot Encoder
 xgboost: 0.02046127388537693
 KNN: 0.02863792341005403
 RFR: 0.02920321752428375
 NN: 0.01495559762911515
AgingPP Encoder
 xgboost: 0.015408348106180426
 KNN: 0.03522415858892789
 RFR: 0.01643251473611911
 NN: 0.03550134800168278
Target Encoder
 xgboost: 0.014599263280978613
 KNN: 0.01806052238861097
 RFR: 0.015150404723820805
 NN: 0.019873778418582753
CESAMO Encoder
 xgboost: 0.015659424156974834
 KNN: 0.03359632016479898
 RFR: 0.014973357112272875
 NN: 0.0364472842876643
